,DBN,Post-Secondary Enrollment (18mo),College Persistance,College Readiness Index
83,03M299,46%,36%,32%
84,03M307,59%,45%,37%
85,15K667,60%,44%,53%
86,03M402,54%,35%,26%
87,10X437,84%,49%,77%
88,03M403,71%,47%,40%
89,03M404,71%,47%,40%
90,03M415,60%,34%,27%
91,03M417,88%,75%,79%
92,03M479,93%,82%,97%
93,03M485,88%,77%,98%
94,03M492,69%,54%,45%
95,03M494,47%,29%,18%
96,03M505,47%,29%,18%
97,03M541,92%,81%,96%
98,03M860,50%,27%,42%
99,04M310,50%,27%,42%
100,04M372,61%,28%,31%
101,04M680,51%,35%,37%
102,04M435,86%,74%,93%
103,04M495,75%,61%,83%
104,04M555,94%,77%,88%
105,04M610,99%,85%,87%
106,05M304,57%,32%,27%
107,05M362,99%,89%,96%
108,05M367,41%,32%,0%
109,05M369,80%,63%,31%
110,05M499,73%,55%,61%
111,05M670,67%,47%,41%
112,05M692,100%,91%,98%
113,06M293,90%,74%,86%
114,06M346,69%,47%,62%
115,06M348,72%,52%,48%
116,06M423,72%,52%,48%
117,06M462,50%,36%,24%
118,06M463,43%,30%,23%
119,06M467,54%,36%,24%
120,06M468,54%,33%,38%
121,06M540,65%,50%,60%
122,06M552,65%,41%,45%
123,07X221,70%,50%,50%
124,07X334,60%,30%,33%
125,07X379,60%,30%,33%
126,07X381,60%,30%,33%
127,07X427,60%,42%,39%
128,07X473,51%,43%,20%
129,07X495,83%,66%,97%
130,07X500,83%,61%,66%
131,07X522,47%,28%,30%
132,07X527,71%,51%,27%
133,07X547,37%,22%,14%
134,07X548,64%,49%,24%
135,07X551,56%,40%,43%
136,07X557,56%,40%,43%
137,07X600,47%,29%,23%
138,07X670,56%,48%,29%
139,08X269,60%,40%,60%
140,08X282,52%,37%,32%
141,08X293,53%,32%,24%
142,08X312,53%,36%,26%
143,08X332,44%,23%,36%
144,08X367,56%,38%,39%
145,08X376,50%,34%,27%
146,08X377,50%,34%,27%
147,08X452,44%,24%,16%
148,08X405,43%,32%,35%
149,08X432,51%,43%,24%
150,08X519,42%,29%,9%
151,08X530,39%,22%,17%
152,08X537,39%,22%,17%
153,10X237,73%,63%,30%
154,08X558,66%,56%,51%
155,08X559,51%,34%,26%
156,08X561,53%,34%,25%
157,09X227,46%,29%,41%
158,09X241,83%,67%,44%
159,09X250,67%,45%,43%
160,09X260,82%,67%,82%
161,09X263,59%,36%,34%
162,09X324,81%,58%,54%
163,09X327,80%,66%,61%
164,17K524,68%,50%,30%
165,09X329,46%,28%,32%
166,09X350,46%,28%,32%
167,09X365,81%,65%,44%
168,09X403,60%,36%,28%
169,09X404,40%,20%,37%
170,09X412,38%,22%,21%
171,09X413,86%,65%,47%
172,09X505,73%,64%,59%
173,09X517,48%,29%,25%
174,09X525,53%,38%,27%
175,09X543,49%,31%,17%
176,09X564,63%,45%,21%
177,10X141,80%,64%,59%
178,10X213,60%,42%,40%
179,10X225,76%,62%,41%
180,10X243,71%,52%,42%
181,10X268,40%,24%,26%
182,10X284,54%,37%,31%
183,10X319,54%,37%,31%
