DBN,School Name,Category,Year,Total Enrollment,#Grade 9,#Grade 10,#Grade 11,#Grade 12,#Female,%Female,#Male,%Male,#Asian,%Asian,#Black,%Black,#Hispanic,%Hispanic,#Other,%Other,#White,%White,#ELL Spanish,%ELL Spanish,#ELL Chinese,%ELL Chinese,#ELL Bengali,%ELL Bengali,#ELL Arabic,%ELL Arabic,#ELL Haitian Creole,%ELL Haitian Creole,#ELL French,%ELL French,#ELL Russian,%ELL Russian,#ELL Korean,%ELL Korean,#ELL Urdu,%ELL Urdu,#ELL Other,%ELL Other,ELA #Test Takers,ELA #Level 1,ELA %Level 1,ELA #Level 2,ELA %Level 2,ELA #Level 3,ELA %Level 3,ELA #Level 4,ELA %Level 4,ELA #L3+L4,ELA %L3+L4,Math #Test Takers,Math #Level 1,Math %Level 1,Math #Level 2,Math %Level 2,Math #Level 3,Math %Level 3,Math #Level 4,Math %Level 4,Math #L3+L4,Math %L3+L4,%Minority
04M495,PARK EAST HIGH SCHOOL,All Students,2017-18,406,96,105,113,92,205,50.5%,200,49.3%,19,,104,0.256,258,0.635,15,3.7%,10,2.5%,,,,,,,,,,,,,,,,,,,,,83,7,8.4%,36,43.4%,34,41.0%,6,7.2%,40,48.2%,70,17,24.3%,37,52.9%,,,,,,,0.891
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,All Students,2017-18,283,91,76,77,39,163,57.6%,120,42.4%,22,,79,0.27899999999999997,173,0.611,,,,,,,,,,,,,,,,,,,,,,,,,83,18,21.7%,24,28.9%,31,37.3%,10,12.0%,41,49.4%,76,,,22,28.9%,29,38.2%,,,,,0.8899999999999999
16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,All Students,2017-18,135,35,39,25,36,55,40.7%,80,59.3%,8,,95,0.7040000000000001,25,0.185,,,,,,,,,,,,,,,,,,,,,,,,,15,7,46.7%,7,46.7%,,,,,,,15,11,73.3%,,,,,,,,,0.889
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,All Students,2017-18,311,87,76,77,71,143,46.0%,167,53.7%,7,,85,0.273,191,0.614,7,2.3%,21,6.8%,,,,,,,,,,,,,,,,,,,,,65,14,21.5%,35,53.8%,10,15.4%,6,9.2%,16,24.6%,57,28,49.1%,24,42.1%,,,,,,,0.887
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,All Students,2017-18,255,73,60,61,61,75,29.4%,180,70.6%,10,,75,0.294,151,0.5920000000000001,11,4.3%,8,3.1%,,,,,,,,,,,,,,,,,,,,,56,,,26,46.4%,18,32.1%,,,,,50,17,34.0%,20,40.0%,,,,,,,0.8860000000000001
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,All Students,2017-18,281,91,80,55,55,139,49.5%,142,50.5%,18,,83,0.295,166,0.591,,,,,,,,,,,,,,,,,,,,,,,,,66,11,16.7%,29,43.9%,20,30.3%,6,9.1%,26,39.4%,59,34,57.6%,18,30.5%,,,,,,,0.8859999999999999
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,All Students,2017-18,1590,481,416,325,368,1463,92.0%,126,7.9%,95,,528,0.332,880,0.5529999999999999,17,1.1%,70,4.4%,,,,,,,,,,,,,,,,,,,,,388,52,13.4%,153,39.4%,135,34.8%,48,12.4%,183,47.2%,302,116,38.4%,132,43.7%,48,15.9%,6,2.0%,54,17.9%,0.885
11X545,BRONX AEROSPACE HIGH SCHOOL,All Students,2017-18,346,84,107,76,79,85,24.6%,261,75.4%,22,,140,0.405,166,0.48,8,2.3%,10,2.9%,,,,,,,,,,,,,,,,,,,,,62,28,45.2%,20,32.3%,,,,,,,65,45,69.2%,17,26.2%,,,,,,,0.885
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHI",All Students,2017-18,439,135,113,76,115,84,19.1%,355,80.9%,30,,308,0.7020000000000001,80,0.182,8,1.8%,13,3.0%,,,,,,,,,,,,,,,,,,,,,98,22,22.4%,34,34.7%,33,33.7%,9,9.2%,42,42.9%,85,33,38.8%,35,41.2%,,,,,,,0.8840000000000001
21K728,LIBERATION DIPLOMA PLUS,All Students,2017-18,225,38,86,46,55,99,44.0%,126,56.0%,,,117,0.52,82,0.364,,,21,9.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.884
02M392,MANHATTAN BUSINESS ACADEMY,All Students,2017-18,423,131,110,93,89,190,44.9%,233,55.1%,22,,87,0.20600000000000002,287,0.6779999999999999,11,2.6%,16,3.8%,,,,,,,,,,,,,,,,,,,,,121,21,17.4%,54,44.6%,39,32.2%,7,5.8%,46,38.0%,96,42,43.8%,42,43.8%,,,,,,,0.8839999999999999
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,All Students,2017-18,567,92,166,166,143,316,55.7%,251,44.3%,35,,130,0.22899999999999998,371,0.654,11,1.9%,20,3.5%,,,,,,,,,,,,,,,,,,,,,74,17,23.0%,41,55.4%,,,,,,,70,39,55.7%,27,38.6%,,,,,,,0.883
