DBN,School Name,Category,Year,Total Enrollment,#Grade 9,#Grade 10,#Grade 11,#Grade 12,#Female,%Female,#Male,%Male,#Asian,%Asian,#Black,%Black,#Hispanic,%Hispanic,#Other,%Other,#White,%White,#ELL Spanish,%ELL Spanish,#ELL Chinese,%ELL Chinese,#ELL Bengali,%ELL Bengali,#ELL Arabic,%ELL Arabic,#ELL Haitian Creole,%ELL Haitian Creole,#ELL French,%ELL French,#ELL Russian,%ELL Russian,#ELL Korean,%ELL Korean,#ELL Urdu,%ELL Urdu,#ELL Other,%ELL Other,ELA #Test Takers,ELA #Level 1,ELA %Level 1,ELA #Level 2,ELA %Level 2,ELA #Level 3,ELA %Level 3,ELA #Level 4,ELA %Level 4,ELA #L3+L4,ELA %L3+L4,Math #Test Takers,Math #Level 1,Math %Level 1,Math #Level 2,Math %Level 2,Math #Level 3,Math %Level 3,Math #Level 4,Math %Level 4,Math #L3+L4,Math %L3+L4,%Minority
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,",All Students,2017-18,356,71,100,97,88,104,29.2%,252,70.8%,18,,86,0.242,239,0.6709999999999999,,,,,,,,,,,,,,,,,,,,,,,,,59,15,25.4%,32,54.2%,,,,,,,56,28,50.0%,16,28.6%,,,,,,,0.9129999999999999
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOA,All Students,2017-18,352,82,79,87,104,173,49.1%,179,50.9%,18,,307,0.872,14,0.04,7,2.0%,6,1.7%,,,,,,,,,,,,,,,,,,,,,72,,,31,43.1%,23,31.9%,,,,,24,14,58.3%,8,33.3%,,,,,,,0.912
11X514,THE BRONXWOOD PREPARATORY ACADEMY,All Students,2017-18,405,126,126,88,65,213,52.6%,192,47.4%,13,,258,0.637,111,0.27399999999999997,9,2.2%,14,3.5%,,,,,,,,,,,,,,,,,,,,,73,25,34.2%,33,45.2%,,,,,,,72,46,63.9%,23,31.9%,,,,,,,0.911
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION,All Students,2017-18,756,254,211,169,122,192,25.4%,564,74.6%,34,,534,0.706,154,0.204,18,2.4%,16,2.1%,,,,,,,,,,,,,,,,,,,,,244,54,22.1%,108,44.3%,72,29.5%,10,4.1%,82,33.6%,215,103,47.9%,77,35.8%,,,,,,,0.9099999999999999
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,All Students,2017-18,491,146,131,112,102,284,57.8%,207,42.2%,22,,125,0.255,320,0.652,15,3.1%,9,1.8%,,,,,,,,,,,,,,,,,,,,,137,11,8.0%,33,24.1%,69,50.4%,24,17.5%,93,67.9%,120,21,17.5%,44,36.7%,42,35.0%,13,10.8%,55,45.8%,0.907
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,All Students,2017-18,271,65,76,65,65,138,50.9%,133,49.1%,14,,135,0.498,110,0.406,,,,,,,,,,,,,,,,,,,,,,,,,44,13,29.5%,20,45.5%,,,,,,,36,24,66.7%,10,27.8%,,,,,,,0.904
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIEN,All Students,2017-18,468,116,134,83,135,249,53.2%,219,46.8%,25,,349,0.746,74,0.158,,,,,,,,,,,,,,,,,,,,,,,,,80,,,32,40.0%,27,33.8%,,,,,65,30,46.2%,29,44.6%,,,,,,,0.904
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,All Students,2017-18,373,89,107,100,77,147,39.4%,226,60.6%,19,,302,0.81,35,0.094,6,1.6%,11,2.9%,,,,,,,,,,,,,,,,,,,,,68,,,36,52.9%,19,27.9%,,,,,57,22,38.6%,29,50.9%,,,,,,,0.904
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,All Students,2017-18,1375,600,308,265,202,705,51.3%,669,48.7%,66,,386,0.281,857,0.623,37,2.7%,29,2.1%,,,,,,,,,,,,,,,,,,,,,414,83,20.0%,170,41.1%,123,29.7%,38,9.2%,161,38.9%,377,150,39.8%,158,41.9%,55,14.6%,14,3.7%,69,18.3%,0.904
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,All Students,2017-18,504,167,132,114,91,174,34.5%,329,65.3%,25,,173,0.34299999999999997,282,0.56,10,2.0%,14,2.8%,,,,,,,,,,,,,,,,,,,,,118,20,16.9%,50,42.4%,36,30.5%,12,10.2%,48,40.7%,107,40,37.4%,52,48.6%,,,,,,,0.903
