DBN,School Name
02M519,TALENT UNLIMITED HIGH SCHOOL
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORA
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS
09X231,EAGLE ACADEMY FOR YOUNG MEN
02M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES
02M534,HARVEST COLLEGIATE HIGH SCHOOL
02M542,MANHATTAN BRIDGES HIGH SCHOOL
02M543,NEW DESIGN HIGH SCHOOL
02M544,INDEPENDENCE HIGH SCHOOL
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES
02M546,ACADEMY FOR SOFTWARE ENGINEERING
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS
02M551,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL
02M560,HIGH SCHOOL M560 - CITY AS SCHOOL
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL
02M570,SATELLITE ACADEMY HIGH SCHOOL
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING
02M586,HARVEY MILK HIGH SCHOOL
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES
02M605,HUMANITIES PREPARATORY ACADEMY
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES
02M630,ART AND DESIGN HIGH SCHOOL
14K614,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN
02M655,LIFE SCIENCES SECONDARY SCHOOL
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE"
15K667,SUNSET PARK HIGH SCHOOL
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS
03M403,THE GLOBAL LEARNING COLLABORATIVE
03M404,INNOVATION DIPLOMA PLUS
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VIS
03M417,FRANK MCCOURT HIGH SCHOOL
03M479,BEACON HIGH SCHOOL
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART A
03M859,SPECIAL MUSIC SCHOOL
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC"
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL
04M310,THE JUDITH S. KAYE HIGH SCHOOL
04M372,ESPERANZA PREPARATORY ACADEMY
04M680,"HERITAGE SCHOOL, THE"
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS
04M495,PARK EAST HIGH SCHOOL
04M555,CENTRAL PARK EAST HIGH SCHOOL
05M157,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL
05M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM
05M285,HARLEM RENAISSANCE HIGH SCHOOL
05M304,MOTT HALL HIGH SCHOOL
05M362,COLUMBIA SECONDARY SCHOOL
05M367,ACADEMY FOR SOCIAL ACTION
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS
05M499,FREDERICK DOUGLASS ACADEMY
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERI"
06M211,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE
06M293,CITY COLLEGE ACADEMY OF THE ARTS
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL
06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION
06M462,THE COLLEGE ACADEMY
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHE
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL
07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X
07X259,"H.E.R.O. HIGH (HEALTH, EDUCATION, AND RESEARCH OCC"
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL
07X381,BRONX HAVEN HIGH SCHOOL
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE
07X522,BRONX DESIGN AND CONSTRUCTION ACADEMY
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL
07X547,NEW EXPLORERS HIGH SCHOOL
07X548,CAREERS IN SPORTS HIGH SCHOOL
07X551,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS
07X557,MOTT HAVEN COMMUNITY HIGH SCHOOL
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIG
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS
08X349,BRONX RIVER HIGH SCHOOL
08X282,WOMEN'S ACADEMY OF EXCELLENCE
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECH
08X312,MILLENNIUM ART ACADEMY
08X320,PELHAM LAB HIGH SCHOOL
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH
08X348,SCHUYLERVILLE PREPARATORY HIGH SCHOOL
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOG"
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOA
08X377,BRONX COMMUNITY HIGH SCHOOL
08X452,GOTHAM COLLABORATIVE HIGH SCHOOL
08X405,HERBERT H. LEHMAN HIGH SCHOOL
08X432,BRONX BRIDGES HIGH SCHOOL
08X519,FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUB
08X530,LONGWOOD PREPARATORY ACADEMY
08X537,BRONX ARENA HIGH SCHOOL
10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND"
08X558,WESTCHESTER SQUARE ACADEMY
08X559,SCHOOL FOR TOURISM AND HOSPITALITY
08X561,BRONX COMPASS HIGH SCHOOL
09X227,BRONX COLLEGIATE ACADEMY
09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOA
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS
09X263,VALIDUS PREPARATORY ACADEMY
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNIN
09X327,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS
09X329,DREAMYARD PREPARATORY SCHOOL
09X350,NEW DIRECTIONS SECONDARY SCHOOL
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY
09X403,BRONX INTERNATIONAL HIGH SCHOOL
09X404,SCHOOL FOR EXCELLENCE
09X412,BRONX HIGH SCHOOL OF BUSINESS
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE"
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE
09X564,CLAREMONT INTERNATIONAL HS
09X568,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / H
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL
10X243,WEST BRONX ACADEMY FOR THE FUTURE
10X264,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE)
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL
10X284,BRONX SCHOOL OF LAW AND FINANCE
10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH
10X549,DISCOVERY HIGH SCHOOL
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS
10X351,BRONX COLLABORATIVE HIGH SCHOOL
10X353,WORLD VIEW HIGH SCHOOL
10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368)
10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIO
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPOR
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS
10X434,BELMONT PREPARATORY HIGH SCHOOL
10X438,FORDHAM LEADERSHIP ACADEMY
11X513,NEW WORLD HIGH SCHOOL
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE
10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE"
10X445,THE BRONX HIGH SCHOOL OF SCIENCE
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES
10X524,CROTONA INTERNATIONAL HIGH SCHOOL
10X546,BRONX THEATRE HIGH SCHOOL
11X545,BRONX AEROSPACE HIGH SCHOOL
10X565,HIGH SCHOOL FOR ENERGY AND TECHNOLOGY
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION AR
11X265,BRONX LAB SCHOOL
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A CO
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR Y
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE
11X290,BRONX ACADEMY OF HEALTH CAREERS
11X299,ASTOR COLLEGIATE ACADEMY
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS
11X455,HARRY S TRUMAN HIGH SCHOOL
11X508,BRONXDALE HIGH SCHOOL
11X509,HIGH SCHOOL OF LANGUAGE AND INNOVATION
11X514,THE BRONXWOOD PREPARATORY ACADEMY
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL
11X542,PELHAM PREPARATORY ACADEMY
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS
12X242,MOTT HALL V
12X248,"METROPOLITAN HIGH SCHOOL, THE"
12X251,EXPLORATIONS ACADEMY H.S.
12X267,BRONX LATIN
12X271,EAST BRONX ACADEMY FOR THE FUTURE
12X321,CROTONA ACADEMY HIGH SCHOOL
12X372,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION
12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE
12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX
12X478,THE CINEMA SCHOOL
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL
12X480,BRONX REGIONAL HIGH SCHOOL
12X511,BRONX ENVISION ACADEMY
12X521,THE METROPOLITAN SOUNDVIEW HIGH SCHOOL
12X550,HIGH SCHOOL OF WORLD CULTURES
12X684,WINGS ACADEMY
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS
13K350,URBAN ASSEMBLY SCHOOL FOR MUSIC AND ART
13K412,BROOKLYN COMMUNITY ARTS & MEDIA HIGH SCHOOL (BCAM)
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC"
13K430,BROOKLYN TECHNICAL HIGH SCHOOL
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE
13K499,ACORN COMMUNITY HIGH SCHOOL
13K553,BROOKLYN ACADEMY HIGH SCHOOL
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL
13K595,BEDFORD ACADEMY HIGH SCHOOL
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY
13K670,BENJAMIN BANNEKER ACADEMY
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHI"
15K684,MILLENNIUM BROOKLYN HS
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL
14K449,"BROOKLYN LATIN SCHOOL, THE"
14K454,THE WILLIAMSBURG HIGH SCHOOL OF ART AND TECHNOLOGY
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS
14K477,EAST WILLIAMSBURG SCHOLARS ACADEMY
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHN"
14K488,BROOKLYN PREPARATORY HIGH SCHOOL
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESI
14K561,WILLIAMSBURG PREPARATORY SCHOOL
14K586,LYONS COMMUNITY SCHOOL
14K610,AUTOMOTIVE HIGH SCHOOL
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE
15K423,BROOKLYN FRONTIERS HIGH SCHOOL
15K429,DIGITAL ARTS AND CINEMA TECHNOLOGY HIGH SCHOOL
16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIE
15K462,JOHN JAY SCHOOL FOR LAW
15K463,SECONDARY SCHOOL FOR JOURNALISM
15K464,PARK SLOPE COLLEGIATE
15K497,THE BOERUM HILL SCHOOL FOR INTERNATIONAL STUDIES
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL
15K592,KHALIL GIBRAN INTERNATIONAL ACADEMY
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL
16K455,BOYS AND GIRLS HIGH SCHOOL
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY
16K669,RESEARCH AND SERVICE HIGH SCHOOL
16K765,NELSON MANDELA HIGH SCHOOL
17K122,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL (
17K408,ACADEMY OF HOSPITALITY AND TOURISM
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP
17K531,"SCHOOL FOR HUMAN RIGHTS, THE"
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIG"
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW
17K751,ACADEMY FOR HEALTH CAREERS
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL
17K600,CLARA BARTON HIGH SCHOOL
17K745,BROOKLYN INSTITUTE FOR LIBERAL ARTS
18K563,IT TAKES A VILLAGE ACADEMY
18K566,BROOKLYN GENERATION SCHOOL
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL
18K576,VICTORY COLLEGIATE HIGH SCHOOL
18K578,BROOKLYN BRIDGE ACADEMY
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS
18K642,URBAN ACTION ACADEMY
18K635,OLYMPUS ACADEMY
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL
19K404,ACADEMY FOR YOUNG WRITERS
19K409,EAST NEW YORK FAMILY ACADEMY
19K422,SPRING CREEK COMMUNITY SCHOOL
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL
19K502,FDNY - CAPTAIN VERNON A. RICHARD HIGH SCHOOL FOR F
19K504,HIGH SCHOOL FOR CIVIL RIGHTS
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHO
19K583,MULTICULTURAL HIGH SCHOOL
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH S
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY
19K639,BROOKLYN LAB SCHOOL
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, W"
19K764,THE URBAN ASSEMBLY SCHOOL FOR COLLABORATIVE HEALTH
20K445,NEW UTRECHT HIGH SCHOOL
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLO
20K490,FORT HAMILTON HIGH SCHOOL
20K609,URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HI
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES
25Q241,QUEENS HIGH SCHOOL FOR LANGUAGE STUDIES
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT
21K410,ABRAHAM LINCOLN HIGH SCHOOL
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL
21K525,EDWARD R. MURROW HIGH SCHOOL
21K540,JOHN DEWEY HIGH SCHOOL
23K643,BROOKLYN DEMOCRACY ACADEMY
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADER
21K690,BROOKLYN STUDIO SECONDARY SCHOOL
21K728,LIBERATION DIPLOMA PLUS
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND T"
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY C
22K405,MIDWOOD HIGH SCHOOL
22K425,JAMES MADISON HIGH SCHOOL
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES
22K555,BROOKLYN COLLEGE ACADEMY
22K611,ORIGINS HIGH SCHOOL
22K630,PROFESSIONAL PATHWAYS HIGH SCHOOL
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL
23K644,EAGLE ACADEMY FOR YOUNG MEN II
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL
23K697,TEACHERS PREPARATORY HIGH SCHOOL
24Q236,INTERNATIONAL HIGH SCHOOL FOR HEALTH SCIENCES
24Q264,ACADEMY OF FINANCE AND ENTERPRISE
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION
24Q293,CIVIC LEADERSHIP ACADEMY
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL
24Q299,BARD HIGH SCHOOL EARLY COLLEGE QUEENS
24Q455,NEWTOWN HIGH SCHOOL
24Q485,GROVER CLEVELAND HIGH SCHOOL
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AN"
29Q326,CAMBRIA HEIGHTS ACADEMY
27Q351,ROCKAWAY COLLEGIATE HIGH SCHOOL
24Q585,MASPETH HIGH SCHOOL
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL
24Q744,VOYAGES PREPARATORY
25Q240,VERITAS ACADEMY
25Q252,"QUEENS SCHOOL OF INQUIRY, THE"
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL
25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHO
25Q425,JOHN BOWNE HIGH SCHOOL
25Q460,FLUSHING HIGH SCHOOL
25Q525,TOWNSEND HARRIS HIGH SCHOOL
25Q540,QUEENS ACADEMY HIGH SCHOOL
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL
26Q315,BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH
26Q430,FRANCIS LEWIS HIGH SCHOOL
26Q435,MARTIN VAN BUREN HIGH SCHOOL
26Q495,BAYSIDE HIGH SCHOOL
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL
27Q261,VOYAGES PREP - SOUTH QUEENS
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND"
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ART
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCH
27Q314,EPIC HIGH SCHOOL - SOUTH
27Q323,SCHOLARS' ACADEMY
28Q686,QUEENS METROPOLITAN HIGH SCHOOL
27Q324,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAI
27Q334,EPIC HIGH SCHOOL - NORTH
27Q400,AUGUST MARTIN HIGH SCHOOL
27Q475,RICHMOND HILL HIGH SCHOOL
27Q480,JOHN ADAMS HIGH SCHOOL
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING A"
28Q157,J.H.S. 157 STEPHEN A. HALSEY
28Q167,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL
28Q284,YORK EARLY COLLEGE ACADEMY
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL
28Q325,HILLSIDE ARTS & LETTERS ACADEMY
28Q328,HIGH SCHOOL FOR COMMUNITY LEADERSHIP
28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY
28Q350,JAMAICA GATEWAY TO THE SCIENCES
28Q440,FOREST HILLS HIGH SCHOOL
28Q505,HILLCREST HIGH SCHOOL
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HI
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEG
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS"
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL
29Q243,INSTITUTE FOR HEALTH PROFESSIONS AT CAMBRIA HEIGHT
31R460,SUSAN E. WAGNER HIGH SCHOOL
29Q248,QUEENS PREPARATORY ACADEMY
